edad_del_espectador,visualizaciones_(%),duracion_media_de_las_visualizaciones,porcentaje_medio_visto_(%),tiempo_de_visualizacion_(horas)_(%),fecha_publicacion,nombre_video
Entre 45 y 54 años,28.32,0:04:00,23.89,29.72,20220120,🧐 PRESTA mucha ATENCIÓN a estos DETALLES para DISEÑAR LOGOS en CorelDRAW 😱
Entre 25 y 34 años,18.94,0:03:05,31.34,16.25,20220427,Estas son las ÚLTIMAS NOVEDADES de COREL DRAW 2022
Entre 35 y 44 años,33.33,0:03:49,38.85,35.46,20220427,Estas son las ÚLTIMAS NOVEDADES de COREL DRAW 2022
Entre 45 y 54 años,29.55,0:04:10,42.36,34.27,20220427,Estas son las ÚLTIMAS NOVEDADES de COREL DRAW 2022
Entre 55 y 64 años,18.18,0:02:46,28.16,14.02,20220427,Estas son las ÚLTIMAS NOVEDADES de COREL DRAW 2022
Entre 25 y 34 años,50.0,0:05:33,29.67,44.59,20210907,⚡ CorelDRAW ›NEW YORK CITY‹ 🗽 Retro NEON Design TUTORIAL
Entre 35 y 44 años,28.69,0:05:28,29.28,25.24,20210907,⚡ CorelDRAW ›NEW YORK CITY‹ 🗽 Retro NEON Design TUTORIAL
Entre 45 y 54 años,21.31,0:08:48,47.11,30.17,20210907,⚡ CorelDRAW ›NEW YORK CITY‹ 🗽 Retro NEON Design TUTORIAL
Entre 35 y 44 años,100.0,0:01:47,23.18,100.0,20220222,😎 Así FUNCIONAN los PAQUETES de EFECTOS de MOVAVI ▶
Entre 25 y 34 años,37.43,0:02:55,30.13,36.92,20210713,🔥 CorelDRAW BASIC Techniques for Beginners & Experts ▶ 3D LOGO TUTORIAL
Entre 35 y 44 años,28.65,0:02:54,29.85,28.0,20210713,🔥 CorelDRAW BASIC Techniques for Beginners & Experts ▶ 3D LOGO TUTORIAL
Entre 45 y 54 años,33.92,0:03:04,31.59,35.07,20210713,🔥 CorelDRAW BASIC Techniques for Beginners & Experts ▶ 3D LOGO TUTORIAL
Entre 25 y 34 años,44.04,0:02:05,36.08,37.6,20210727,🔥 LOGO TUTORIAL ▶ CorelDRAW MUST KNOWN Techniques for Beginners & Experts
Entre 35 y 44 años,39.9,0:02:35,44.64,42.14,20210727,🔥 LOGO TUTORIAL ▶ CorelDRAW MUST KNOWN Techniques for Beginners & Experts
Entre 45 y 54 años,16.06,0:03:06,53.31,20.26,20210727,🔥 LOGO TUTORIAL ▶ CorelDRAW MUST KNOWN Techniques for Beginners & Experts
Entre 25 y 34 años,32.29,0:04:50,27.9,31.68,20211012,💪🏼 DOMINA esta TÉCNICA para diseñar LOGOS como este en CorelDRAW 🍺
Entre 35 y 44 años,37.62,0:05:03,29.17,38.59,20211012,💪🏼 DOMINA esta TÉCNICA para diseñar LOGOS como este en CorelDRAW 🍺
Entre 45 y 54 años,30.09,0:04:52,28.09,29.74,20211012,💪🏼 DOMINA esta TÉCNICA para diseñar LOGOS como este en CorelDRAW 🍺
Entre 18 y 24 años,38.29,0:01:18,11.88,30.6,20211202,✔✨ Aprende LA TÉCNICA CREATIVA para CREAR LOGOS GRATIS en CorelDRAW ▶ TUTORIAL
Entre 25 y 34 años,34.08,0:01:36,14.7,33.7,20211202,✔✨ Aprende LA TÉCNICA CREATIVA para CREAR LOGOS GRATIS en CorelDRAW ▶ TUTORIAL
Entre 35 y 44 años,18.74,0:02:06,19.16,24.16,20211202,✔✨ Aprende LA TÉCNICA CREATIVA para CREAR LOGOS GRATIS en CorelDRAW ▶ TUTORIAL
Entre 45 y 54 años,8.25,0:02:10,19.77,10.98,20211202,✔✨ Aprende LA TÉCNICA CREATIVA para CREAR LOGOS GRATIS en CorelDRAW ▶ TUTORIAL
Entre 55 y 64 años,0.64,0:01:24,12.89,0.56,20211202,✔✨ Aprende LA TÉCNICA CREATIVA para CREAR LOGOS GRATIS en CorelDRAW ▶ TUTORIAL
Entre 35 y 44 años,100.0,0:01:36,13.37,100.0,20220208,⚡ Cómo CREAR 7 EFECTOS GLITCH PRO con MOVAVI Video Editor Plus 2022 ▶ TUTORIAL
Entre 18 y 24 años,12.73,0:01:42,9.71,8.58,20220127,✔✨ Sigue el PROCESO PASO a PASO y APRENDE A CREAR LOGOS en CorelDRAW ► TUTORIAL
Entre 25 y 34 años,38.36,0:02:01,11.5,30.63,20220127,✔✨ Sigue el PROCESO PASO a PASO y APRENDE A CREAR LOGOS en CorelDRAW ► TUTORIAL
Entre 35 y 44 años,36.55,0:02:59,16.91,42.91,20220127,✔✨ Sigue el PROCESO PASO a PASO y APRENDE A CREAR LOGOS en CorelDRAW ► TUTORIAL
Entre 45 y 54 años,12.36,0:03:40,20.82,17.88,20220127,✔✨ Sigue el PROCESO PASO a PASO y APRENDE A CREAR LOGOS en CorelDRAW ► TUTORIAL
Entre 13 y 17 años,1.19,0:00:43,3.05,0.5,20211123,✔✨ Sigue estos MÉTODOS para DISEÑAR tus LOGOS en CorelDRAW ► TUTORIAL
Entre 18 y 24 años,32.07,0:01:29,6.31,28.0,20211123,✔✨ Sigue estos MÉTODOS para DISEÑAR tus LOGOS en CorelDRAW ► TUTORIAL
Entre 25 y 34 años,38.48,0:01:44,7.35,39.12,20211123,✔✨ Sigue estos MÉTODOS para DISEÑAR tus LOGOS en CorelDRAW ► TUTORIAL
Entre 35 y 44 años,19.14,0:01:56,8.22,21.77,20211123,✔✨ Sigue estos MÉTODOS para DISEÑAR tus LOGOS en CorelDRAW ► TUTORIAL
Entre 45 y 54 años,7.36,0:02:05,8.83,8.99,20211123,✔✨ Sigue estos MÉTODOS para DISEÑAR tus LOGOS en CorelDRAW ► TUTORIAL
Entre 55 y 64 años,1.76,0:01:34,6.66,1.62,20211123,✔✨ Sigue estos MÉTODOS para DISEÑAR tus LOGOS en CorelDRAW ► TUTORIAL
Entre 25 y 34 años,100.0,0:01:01,56.27,100.0,20210518,💙 Curso VEGAS PRO en YOUTUBE 2021 (Entrenamiento Online) ▶
Entre 25 y 34 años,35.39,0:02:55,14.22,26.53,20220303,🧐 Sigue ESTE ORDEN en tus PROYECTOS ⭐ para CREAR LOGOS ASÍ en CorelDRAW
Entre 35 y 44 años,40.45,0:03:49,18.68,39.84,20220303,🧐 Sigue ESTE ORDEN en tus PROYECTOS ⭐ para CREAR LOGOS ASÍ en CorelDRAW
Entre 45 y 54 años,24.16,0:05:25,26.4,33.63,20220303,🧐 Sigue ESTE ORDEN en tus PROYECTOS ⭐ para CREAR LOGOS ASÍ en CorelDRAW
Entre 25 y 34 años,36.19,0:02:39,21.15,21.47,20210923,🌟 AMAZING PERSPECTIVE Tips ▶ CREATE 3D TEXT in CorelDRAW
Entre 35 y 44 años,42.86,0:06:15,49.71,59.75,20210923,🌟 AMAZING PERSPECTIVE Tips ▶ CREATE 3D TEXT in CorelDRAW
Entre 45 y 54 años,20.95,0:04:01,31.95,18.78,20210923,🌟 AMAZING PERSPECTIVE Tips ▶ CREATE 3D TEXT in CorelDRAW
Entre 25 y 34 años,35.86,0:03:31,21.29,33.25,20220331,✨✔ DISEÑA como un PROFESIONAL si SIGUES estos PASOS en CorelDRAW
Entre 35 y 44 años,26.9,0:03:23,20.42,23.92,20220331,✨✔ DISEÑA como un PROFESIONAL si SIGUES estos PASOS en CorelDRAW
Entre 45 y 54 años,37.24,0:04:22,26.41,42.84,20220331,✨✔ DISEÑA como un PROFESIONAL si SIGUES estos PASOS en CorelDRAW
Entre 25 y 34 años,32.83,0:04:35,37.34,41.47,20211104,🧐 DOMINA las MEJORES TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Entre 35 y 44 años,44.44,0:03:10,25.81,38.8,20211104,🧐 DOMINA las MEJORES TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Entre 45 y 54 años,12.12,0:03:01,24.53,10.06,20211104,🧐 DOMINA las MEJORES TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Entre 55 y 64 años,10.61,0:03:19,26.98,9.68,20211104,🧐 DOMINA las MEJORES TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Entre 25 y 34 años,20.41,0:04:32,22.27,17.31,20211214,🤫 Pon en PRÁCTICA el SECRETO para DISEÑAR este LOGO en CorelDRAW ▶▶ TUTORIAL
Entre 35 y 44 años,48.4,0:05:15,25.84,47.62,20211214,🤫 Pon en PRÁCTICA el SECRETO para DISEÑAR este LOGO en CorelDRAW ▶▶ TUTORIAL
Entre 45 y 54 años,24.78,0:06:25,31.56,29.78,20211214,🤫 Pon en PRÁCTICA el SECRETO para DISEÑAR este LOGO en CorelDRAW ▶▶ TUTORIAL
Entre 55 y 64 años,6.41,0:04:24,21.65,5.29,20211214,🤫 Pon en PRÁCTICA el SECRETO para DISEÑAR este LOGO en CorelDRAW ▶▶ TUTORIAL
Entre 35 y 44 años,100.0,0:01:14,69.92,100.0,20210506,👉 Cuánto CUESTA 💲 CorelDRAW ▶ 
Entre 25 y 34 años,45.45,0:03:11,26.81,41.24,20211019,Si USAS esta TÉCNICA 🧐 puedes CREAR muchos LOGOS ▶ CorelDRAW
Entre 35 y 44 años,33.82,0:03:39,30.66,35.09,20211019,Si USAS esta TÉCNICA 🧐 puedes CREAR muchos LOGOS ▶ CorelDRAW
Entre 45 y 54 años,13.09,0:03:54,32.75,14.51,20211019,Si USAS esta TÉCNICA 🧐 puedes CREAR muchos LOGOS ▶ CorelDRAW
Entre 55 y 64 años,7.64,0:04:13,35.46,9.16,20211019,Si USAS esta TÉCNICA 🧐 puedes CREAR muchos LOGOS ▶ CorelDRAW
Entre 25 y 34 años,64.2,0:05:29,16.44,54.67,20210928,🤜🏼 La MASTERCLASS que BUSCABAS 👉🏼  Técnicas AVANZADAS para DISEÑADORES CorelDRAW
Entre 35 y 44 años,35.8,0:08:10,24.45,45.33,20210928,🤜🏼 La MASTERCLASS que BUSCABAS 👉🏼  Técnicas AVANZADAS para DISEÑADORES CorelDRAW
Entre 18 y 24 años,17.04,0:02:22,7.56,12.56,20220203,✔✨ DESCUBRE estas TÉCNICAS para CREAR DISEÑOS orgánicos en ▶ TUTORIAL
Entre 25 y 34 años,42.58,0:02:46,8.83,36.67,20220203,✔✨ DESCUBRE estas TÉCNICAS para CREAR DISEÑOS orgánicos en ▶ TUTORIAL
Entre 35 y 44 años,25.89,0:03:38,11.64,29.39,20220203,✔✨ DESCUBRE estas TÉCNICAS para CREAR DISEÑOS orgánicos en ▶ TUTORIAL
Entre 45 y 54 años,13.63,0:04:51,15.51,20.61,20220203,✔✨ DESCUBRE estas TÉCNICAS para CREAR DISEÑOS orgánicos en ▶ TUTORIAL
Entre 55 y 64 años,0.86,0:02:51,9.13,0.77,20220203,✔✨ DESCUBRE estas TÉCNICAS para CREAR DISEÑOS orgánicos en ▶ TUTORIAL
Entre 25 y 34 años,40.0,0:02:17,26.32,38.87,20210805,🔴 CorelDRAW MUST KNOWN Techniques for Beginners & Experts ▶ 3D LOGO TUTORIAL
Entre 35 y 44 años,34.81,0:02:04,23.99,30.84,20210805,🔴 CorelDRAW MUST KNOWN Techniques for Beginners & Experts ▶ 3D LOGO TUTORIAL
Entre 45 y 54 años,25.19,0:02:49,32.58,30.29,20210805,🔴 CorelDRAW MUST KNOWN Techniques for Beginners & Experts ▶ 3D LOGO TUTORIAL
Entre 25 y 34 años,55.64,0:03:15,16.39,40.16,20210916,✒️APRENDE a ILUSTRAR ASÍ en CorelDRAW ✍️ TRUCOS & CONSEJOS CLAVE
Entre 35 y 44 años,44.36,0:06:05,30.63,59.84,20210916,✒️APRENDE a ILUSTRAR ASÍ en CorelDRAW ✍️ TRUCOS & CONSEJOS CLAVE
Entre 45 y 54 años,100.0,0:02:37,37.52,100.0,20210921,🖱 EFECTO de PROYECCIÓN BÁSICA ▶ Tips para DISEÑAR en CorelDRAW
Entre 35 y 44 años,45.74,0:02:51,32.45,54.84,20210722,🔥 CorelDRAW GREAT Techniques for Beginners & Experts ▶ LOGO TUTORIAL (🌸+♻)
Entre 45 y 54 años,54.26,0:01:58,22.53,45.16,20210722,🔥 CorelDRAW GREAT Techniques for Beginners & Experts ▶ LOGO TUTORIAL (🌸+♻)
Entre 25 y 34 años,58.62,0:02:32,30.41,49.46,20210812,🔥 CorelDRAW KEY Techniques for Beginners & Experts ▶ LOGO TUTORIAL
Entre 35 y 44 años,41.38,0:03:40,44.01,50.54,20210812,🔥 CorelDRAW KEY Techniques for Beginners & Experts ▶ LOGO TUTORIAL
Entre 25 y 34 años,44.06,0:03:10,24.75,40.39,20211026,🐝 ESTA es la FORMA INTELIGENTE 😱 de usar la GEOMETRÍA para DISEÑAR ▶ CorelDRAW
Entre 35 y 44 años,41.58,0:03:15,25.38,39.09,20211026,🐝 ESTA es la FORMA INTELIGENTE 😱 de usar la GEOMETRÍA para DISEÑAR ▶ CorelDRAW
Entre 45 y 54 años,14.36,0:04:57,38.58,20.52,20211026,🐝 ESTA es la FORMA INTELIGENTE 😱 de usar la GEOMETRÍA para DISEÑAR ▶ CorelDRAW
Entre 25 y 34 años,31.03,0:01:46,18.75,21.23,20210706,🔥 CorelDRAW Best Geometry Tricks Logo TUTORIAL ▶▶ MICROSOFT EDGE 👉🏼
Entre 35 y 44 años,47.41,0:02:42,28.69,49.62,20210706,🔥 CorelDRAW Best Geometry Tricks Logo TUTORIAL ▶▶ MICROSOFT EDGE 👉🏼
Entre 45 y 54 años,21.55,0:03:29,37.09,29.15,20210706,🔥 CorelDRAW Best Geometry Tricks Logo TUTORIAL ▶▶ MICROSOFT EDGE 👉🏼
Entre 25 y 34 años,35.57,0:03:51,25.12,33.93,20220217,😎 DOMINA estas TÉCNICAS de DISEÑO para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Entre 35 y 44 años,37.32,0:04:04,26.52,37.58,20220217,😎 DOMINA estas TÉCNICAS de DISEÑO para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Entre 45 y 54 años,27.11,0:04:14,27.68,28.49,20220217,😎 DOMINA estas TÉCNICAS de DISEÑO para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Entre 25 y 34 años,53.85,0:03:28,14.81,40.76,20220322,✨✔ CONOCE el PASO a PASO para CREAR este LOGO en CorelDRAW ▶ TUTORIAL
Entre 35 y 44 años,46.15,0:05:53,25.1,59.24,20220322,✨✔ CONOCE el PASO a PASO para CREAR este LOGO en CorelDRAW ▶ TUTORIAL
Entre 18 y 24 años,75.0,0:00:21,57.04,76.03,20220225,🏃🏼_♂️🚴🏼_♂️Así CREAS LOGOS en CorelDRAW como un PRO
Entre 25 y 34 años,25.0,0:00:19,53.95,23.97,20220225,🏃🏼_♂️🚴🏼_♂️Así CREAS LOGOS en CorelDRAW como un PRO
Entre 35 y 44 años,100.0,0:01:13,19.54,100.0,20210708,🔥 CorelDRAW BEST Techniques for Beginner & Experts TUTORIAL ▶ S Loop (2021) 👉🏼
Entre 25 y 34 años,72.89,0:02:54,22.84,65.75,20211021,✒️ + 🐧Aprende a COMBINAR CONCEPTOS 😏 para DISEÑAR en CorelDRAW
Entre 35 y 44 años,27.11,0:04:04,32.0,34.25,20211021,✒️ + 🐧Aprende a COMBINAR CONCEPTOS 😏 para DISEÑAR en CorelDRAW
Entre 45 y 54 años,100.0,0:02:59,27.12,100.0,20210729,🔥 CorelDRAW AMAZING Techniques for Beginners & Experts ▶ LOGO TUTORIAL
