sexo_del_espectador,visualizaciones_(%),duracion_media_de_las_visualizaciones,porcentaje_medio_visto_(%),tiempo_de_visualizacion_(horas)_(%),fecha_publicacion,nombre_video
Hombre,100.0,0:02:08,25.88,100.0,20210826,🔗 LOGO TUTORIAL CorelDRAW ›BASIC‹ Tips & Tricks 💚 for Beginners & Experts
Mujer,1.11,0:03:15,23.46,1.43,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
Hombre,98.89,0:02:30,18.08,98.57,20220118,🤯 APRENDE a DISEÑAR LOGOS con ESTA TÉCNICA SECRETA en CorelDRAW
Hombre,100.0,0:04:13,42.21,100.0,20211111,🧐 La TABLETA GRÁFICA más BARATA y VENDIDA ¿Merece la pena_ Review VEIKK S640
Hombre,100.0,0:04:03,24.01,100.0,20220419,🤯 CONSEJOS PRÁCTICOS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Hombre,100.0,0:02:47,41.14,100.0,20210902,CorelDRAW MAGIC ››Text EFFECT‹‹ 🌟 TIPS Tutorial ▶
Hombre,100.0,0:03:01,44.26,100.0,20210629,⚡ CorelDRAW BEST Techniques for BEGINNERS & EXPERTS TUTORIAL YIN YANG TUTORIAL (2021) ☯
Hombre,100.0,0:04:09,26.7,100.0,20211109,🧐 Te ENSEÑO estas TÉCNICAS de DIBUJO para DISEÑAR en CorelDRAW 🏠 ► TUTORIAL
Hombre,100.0,0:00:28,82.65,100.0,20211122,¿Puedes adivinar lo que es_ DelcaVideography #short
Mujer,1.7,0:02:44,11.17,1.04,20220125,🔥 Sigue esta ESTRATEGIA para CREAR tus LOGOS (Bien EXPLICADO⚡) en CorelDRAW
Hombre,98.3,0:04:30,18.37,98.96,20220125,🔥 Sigue esta ESTRATEGIA para CREAR tus LOGOS (Bien EXPLICADO⚡) en CorelDRAW
Hombre,100.0,0:02:57,23.83,100.0,20220215,🔥 Cómo CREAR una INTRO para tu CANAL de YOUTUBE 💗 en un PAR de MINUTOS ▶ TUTORIAL
Hombre,100.0,0:00:18,58.17,100.0,20220228,🏃🏼_♂️🚴🏼_♂️ Creación de DISEÑO CREATIVO de LOGOS _ DelcaVideography ▶ Short
Hombre,100.0,0:01:13,37.94,100.0,20211002,😎 Este CONSEJO MEJORARÁ tu EXPERIENCIA con mis TUTORIALES
Hombre,100.0,0:04:09,32.33,100.0,20220301,✔💪🏼 Sigue estas TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Hombre,100.0,0:00:15,75.28,100.0,20211215,👌🏼 Te DOY un TRUCO SECRETO 🤯 para HACER INTROS INCREÍBLES y en POCOS PASOS
Hombre,100.0,0:02:22,43.73,100.0,20211005,👌🏼 EASY Design LOGO Process in CorelDRAW ▶ BEST Tips and Tricks 
Hombre,100.0,0:02:27,30.58,100.0,20211008,🤔🧠 Procesos de DISEÑO INTELIGENTES en CorelDRAW 🖋 Tips & Tricks
Hombre,100.0,0:05:34,18.84,100.0,20210615,🔥 APRENDE a EDITAR VIDEOS con Windows 10 😮 _TUTORIAL COMPLETO_ ▶ 
Hombre,100.0,0:04:02,21.88,100.0,20220308,✔✨ Sigue estos PASOS para CREAR DISEÑOS IMPOSIBLES con CorelDRAW ▶ TUTORIAL
Hombre,100.0,0:03:20,30.02,100.0,20220405,✨✔ APLICA TODAS las TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Hombre,100.0,0:01:36,43.21,100.0,20210503,👉 Cómo poner la BARRA de HERRAMIENTAS 🛠 de Corel Draw ▶
Hombre,100.0,0:02:41,34.09,100.0,20210803,💧 Las MEJORES Técnicas para RENDERIZAR en CorelDRAW ▶ LOGO TUTORIAL
Hombre,100.0,0:00:51,98.62,100.0,20220414,⚡ Contrucción de LOGOS PASO a PASO en CorelDRAW ▶ SHORTS
Hombre,100.0,0:03:42,40.76,100.0,20211117,✅ USA estas TÉCNICAS de DIBUJO para DISEÑAR como PRO 😎 en CorelDRAW ► TUTORIAL
Hombre,100.0,0:03:27,32.06,100.0,20211209,✔ Estos son los PASO a PASO para CONSTRUIR LOGOS en CorelDRAW
Hombre,100.0,0:02:13,27.75,100.0,20210715,🔥 CorelDRAW ESSENTIAL Techniques for Beginners & Experts ▶ LOGO TUTORIAL
Hombre,100.0,0:03:25,41.27,100.0,20210909,📖 3D FLIP PAGE TEXT Effect _ CorelDRAW TUTORIAL
Hombre,100.0,0:03:15,26.86,100.0,20211207,🎉🎈 TIPS ESENCIALES para CREAR tu PROPIA TARJETA de CUMPLEAÑOS en CorelDRAW
Hombre,100.0,0:08:26,24.11,100.0,20210525,Cómo CREAR una TARJETA de NEGOCIOS VIRTUAL 💳 PASO a PASO ▶ Tutorial CorelDRAW (2021)
Hombre,100.0,0:02:46,27.95,100.0,20210930,🧐 El Proceso de DISEÑO de LOGOS _DEFINITIVO_ en CorelDRAW ▶ PASO a PASO
Mujer,3.32,0:02:40,10.82,3.27,20220224,✨✔ ARMONIZA tus DISEÑOS si usas estas TÉCNICAS para CREAR LOGOS en CorelDRAW
Hombre,96.68,0:02:42,10.97,96.73,20220224,✨✔ ARMONIZA tus DISEÑOS si usas estas TÉCNICAS para CREAR LOGOS en CorelDRAW
Hombre,100.0,0:02:42,47.65,100.0,20210914,🧩 EASY ▶ASSEMBLY◀ Techniques for Beginners & Experts ▷ CorelDRAW TUTORIAL 
Hombre,100.0,0:02:55,27.98,100.0,20211125,🔴 Cómo DISEÑAR LOGOS en POCOS PASOS 🧐 con CorelDRAW ► TUTORIAL
Hombre,100.0,0:03:37,21.58,100.0,20220210,✔✨Sigue estos MÉTODOS ESENCIALES para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Hombre,100.0,0:02:33,35.84,100.0,20211130,😲 DOMINA la GEOMETRÍA para DISEÑAR LOGOS en CorelDRAW ► TUTORIAL
Hombre,100.0,0:05:12,13.9,100.0,20220426,✨✔ APLICA estas TÉCNICAS AVANZADAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Mujer,100.0,0:00:38,98.72,100.0,20220226,🏃🏼_♂️🚴🏼_♂️Construye ASÍ DISEÑO de LOGOS
Hombre,100.0,0:01:44,35.24,100.0,20210831,💡 CorelDRAW KEY 🔑 TIPS for Pro & Beginners _ Lightbulb ICON ▶
Hombre,100.0,0:03:55,24.17,100.0,20220315,🔥 USA LETRAS para CREAR LOGOS si SIGUES estos PASOS ▶ TUTORIAL
Hombre,100.0,0:01:36,54.99,100.0,20210802,🌟 CorelDRAW FAST Techniques for Beginners ▶ 3 MIN⏰ TUTORIAL OLYMPIC GAMES Logo
Hombre,100.0,0:05:28,33.7,100.0,20210610,👉🏼 7 Programas GRATUITOS para EDITAR VÍDEOS 💥 que DEDEBS CONOCER🔥
Hombre,100.0,0:03:30,21.49,100.0,20211014,🎇 COMBINA estas TÉCNICAS para _CREAR LOGOS INCREÍBLES_ en CorelDRAW
Hombre,100.0,0:02:46,32.4,100.0,20211028,🐱_👤Con estos MÉTODOS PRÁCTICOS 🧐 puedes DISEÑAR LOGOS Fácilmente en CorelDRAW
Hombre,100.0,0:04:13,35.64,100.0,20211102,🎱🥌 La MEJOR FORMA de APLICAR TEXTURAS 3D ⚙ a LOGOS en CorelDRAW
Hombre,100.0,0:02:43,33.51,100.0,20210817,🔥 CorelDRAW Tips & Tricks for Beginners & Experts ▶ LOGO TUTORIAL
Hombre,100.0,0:03:16,34.8,100.0,20210721,💚 CorelDRAW EASIEST Techniques for Beginners & Experts (💗+🎀) ▶ LOGO Tutorial
Hombre,100.0,0:03:39,18.59,100.0,20210810,🔥 CorelDRAW ADVANCE Techniques for Beginners & Experts _ LOGO TUTORIAL ▶
Hombre,100.0,0:03:44,22.29,100.0,20220120,🧐 PRESTA mucha ATENCIÓN a estos DETALLES para DISEÑAR LOGOS en CorelDRAW 😱
Hombre,100.0,0:01:48,44.44,100.0,20210510,👉 Estos son los REQUISITOS para INSTALAR Corel DRAW ▶
Hombre,100.0,0:03:26,34.91,100.0,20220427,Estas son las ÚLTIMAS NOVEDADES de COREL DRAW 2022
Hombre,100.0,0:06:10,33.03,100.0,20210907,⚡ CorelDRAW ›NEW YORK CITY‹ 🗽 Retro NEON Design TUTORIAL
Hombre,100.0,0:01:30,19.42,100.0,20220222,😎 Así FUNCIONAN los PAQUETES de EFECTOS de MOVAVI ▶
Hombre,100.0,0:02:55,30.14,100.0,20210713,🔥 CorelDRAW BASIC Techniques for Beginners & Experts ▶ 3D LOGO TUTORIAL
Hombre,100.0,0:02:25,41.76,100.0,20210727,🔥 LOGO TUTORIAL ▶ CorelDRAW MUST KNOWN Techniques for Beginners & Experts
Hombre,100.0,0:04:55,28.43,100.0,20211012,💪🏼 DOMINA esta TÉCNICA para diseñar LOGOS como este en CorelDRAW 🍺
Mujer,17.39,0:01:14,11.32,13.21,20211202,✔✨ Aprende LA TÉCNICA CREATIVA para CREAR LOGOS GRATIS en CorelDRAW ▶ TUTORIAL
Hombre,82.61,0:01:43,15.66,86.79,20211202,✔✨ Aprende LA TÉCNICA CREATIVA para CREAR LOGOS GRATIS en CorelDRAW ▶ TUTORIAL
Hombre,100.0,0:01:45,14.62,100.0,20220208,⚡ Cómo CREAR 7 EFECTOS GLITCH PRO con MOVAVI Video Editor Plus 2022 ▶ TUTORIAL
Mujer,2.03,0:02:45,15.66,2.27,20220127,✔✨ Sigue el PROCESO PASO a PASO y APRENDE A CREAR LOGOS en CorelDRAW ► TUTORIAL
Hombre,97.97,0:02:27,13.97,97.73,20220127,✔✨ Sigue el PROCESO PASO a PASO y APRENDE A CREAR LOGOS en CorelDRAW ► TUTORIAL
Hombre,100.0,0:03:57,13.01,100.0,20211216,🤘🏼 Así PODRÁS crear INTROS ANIMADAS para tu TRABAJO y REDES SOCIALES en MINUTOS
Mujer,11.55,0:01:13,5.19,8.28,20211123,✔✨ Sigue estos MÉTODOS para DISEÑAR tus LOGOS en CorelDRAW ► TUTORIAL
Hombre,88.45,0:01:46,7.51,91.72,20211123,✔✨ Sigue estos MÉTODOS para DISEÑAR tus LOGOS en CorelDRAW ► TUTORIAL
Hombre,100.0,0:00:58,53.33,100.0,20210518,💙 Curso VEGAS PRO en YOUTUBE 2021 (Entrenamiento Online) ▶
Hombre,100.0,0:03:56,19.23,100.0,20220303,🧐 Sigue ESTE ORDEN en tus PROYECTOS ⭐ para CREAR LOGOS ASÍ en CorelDRAW
Hombre,100.0,0:04:25,35.22,100.0,20210923,🌟 AMAZING PERSPECTIVE Tips ▶ CREATE 3D TEXT in CorelDRAW
Hombre,100.0,0:03:48,22.96,100.0,20220331,✨✔ DISEÑA como un PROFESIONAL si SIGUES estos PASOS en CorelDRAW
Hombre,100.0,0:03:41,30.05,100.0,20211104,🧐 DOMINA las MEJORES TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Mujer,61.76,0:00:23,69.65,76.74,20210729,Wow! De un simple círculo a ESTO!!! LOGO TUTOTIAL
Hombre,38.24,0:00:11,34.1,23.26,20210729,Wow! De un simple círculo a ESTO!!! LOGO TUTOTIAL
Hombre,100.0,0:05:24,26.57,100.0,20211214,🤫 Pon en PRÁCTICA el SECRETO para DISEÑAR este LOGO en CorelDRAW ▶▶ TUTORIAL
Hombre,100.0,0:01:15,70.81,100.0,20210506,👉 Cuánto CUESTA 💲 CorelDRAW ▶ 
Hombre,100.0,0:03:36,30.28,100.0,20211019,Si USAS esta TÉCNICA 🧐 puedes CREAR muchos LOGOS ▶ CorelDRAW
Hombre,100.0,0:06:32,19.57,100.0,20210928,🤜🏼 La MASTERCLASS que BUSCABAS 👉🏼  Técnicas AVANZADAS para DISEÑADORES CorelDRAW
Mujer,6.09,0:01:10,3.73,2.22,20220203,✔✨ DESCUBRE estas TÉCNICAS para CREAR DISEÑOS orgánicos en ▶ TUTORIAL
Hombre,93.91,0:03:19,10.64,97.78,20220203,✔✨ DESCUBRE estas TÉCNICAS para CREAR DISEÑOS orgánicos en ▶ TUTORIAL
Hombre,100.0,0:02:41,30.92,100.0,20210805,🔴 CorelDRAW MUST KNOWN Techniques for Beginners & Experts ▶ 3D LOGO TUTORIAL
Hombre,100.0,0:04:41,23.54,100.0,20210916,✒️APRENDE a ILUSTRAR ASÍ en CorelDRAW ✍️ TRUCOS & CONSEJOS CLAVE
Hombre,100.0,0:02:36,37.41,100.0,20210921,🖱 EFECTO de PROYECCIÓN BÁSICA ▶ Tips para DISEÑAR en CorelDRAW
Hombre,100.0,0:03:10,30.9,100.0,20210701,🔥 CorelDRAW BEST Techniques for BEGINNERS & EXPERTS Tutorial ▶ SnowFlake ❄ (2021) 👉🏼
Hombre,100.0,0:00:24,41.0,100.0,20210819,Speedrun LOGO MAKER Tutorial (1min)
Hombre,100.0,0:02:38,30.04,100.0,20210722,🔥 CorelDRAW GREAT Techniques for Beginners & Experts ▶ LOGO TUTORIAL (🌸+♻)
Hombre,100.0,0:02:48,33.64,100.0,20210812,🔥 CorelDRAW KEY Techniques for Beginners & Experts ▶ LOGO TUTORIAL
Hombre,100.0,0:03:38,28.4,100.0,20211026,🐝 ESTA es la FORMA INTELIGENTE 😱 de usar la GEOMETRÍA para DISEÑAR ▶ CorelDRAW
Hombre,100.0,0:02:31,26.75,100.0,20210706,🔥 CorelDRAW Best Geometry Tricks Logo TUTORIAL ▶▶ MICROSOFT EDGE 👉🏼
Hombre,100.0,0:03:57,25.81,100.0,20220217,😎 DOMINA estas TÉCNICAS de DISEÑO para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Hombre,100.0,0:04:07,17.57,100.0,20220322,✨✔ CONOCE el PASO a PASO para CREAR este LOGO en CorelDRAW ▶ TUTORIAL
Hombre,100.0,0:00:20,55.06,100.0,20220225,🏃🏼_♂️🚴🏼_♂️Así CREAS LOGOS en CorelDRAW como un PRO
Hombre,100.0,0:01:45,28.27,100.0,20210708,🔥 CorelDRAW BEST Techniques for Beginner & Experts TUTORIAL ▶ S Loop (2021) 👉🏼
Hombre,100.0,0:03:15,25.58,100.0,20211021,✒️ + 🐧Aprende a COMBINAR CONCEPTOS 😏 para DISEÑAR en CorelDRAW
Hombre,100.0,0:03:36,32.77,100.0,20210729,🔥 CorelDRAW AMAZING Techniques for Beginners & Experts ▶ LOGO TUTORIAL
